iter	Passed	Remaining
354	147442	1929211
355	147909	1929465
356	148269	1928335
357	148610	1926949
358	148968	1925804
359	149307	1924411
360	149640	1922936
361	150005	1921896
362	150348	1920569
363	150721	1919631
364	151321	1921577
365	151771	1921614
366	152109	1920221
367	152446	1918833
368	152825	1917986
369	153189	1916939
370	153517	1915450
371	153938	1915130
372	154294	1913996
373	154629	1912608
374	155000	1911671
375	155317	1910068
376	155686	1909119
377	156061	1908248
378	156660	1910095
379	157445	1914201
380	157824	1913358
381	158186	1912319
382	158618	1912125
383	158978	1911059
384	159335	1909956
385	159669	1908587
386	160152	1909001
387	160489	1907673
388	160866	1906824
389	161196	1905423
390	161559	1904415
391	161925	1903454
392	162399	1903754
393	162797	1903157
394	163239	1903078
395	163586	1901901
396	163937	1900766
397	164253	1899226
398	164678	1898957
399	165038	1897944
400	165384	1896769
401	165764	1895985
402	166171	1895513
403	166515	1894323
404	166898	1893578
405	167224	1892195
406	167700	1892503
407	168088	1891823
408	168419	1890496
409	168841	1890206
410	169253	1889791
411	169577	1888405
412	169927	1887309
413	170249	1885902
414	170587	1884680
415	170953	1883779
416	171306	1882724
417	171680	1881913
418	172153	1882180
419	172470	1880751
420	172963	1881236
421	173331	1880362
422	173684	1879327
423	174079	1878747
424	174409	1877461
425	174811	1876971
426	175252	1876883
427	175621	1876036
428	175986	1875136
429	176316	1873871
430	176656	1872725
431	177017	1871799
432	177370	1870787
433	177726	1869809
434	178304	1871170
435	178620	1869780
436	179033	1869405
437	179339	1867910
438	179691	1866910
439	180047	1865948
440	180391	1864863
441	180744	1863876
442	181167	1863616
443	181497	1862397
444	182302	1866041
445	182930	1867862
446	183627	1870369
447	184136	1870955
448	184656	1871653
449	185118	1871754
450	185489	1870935
451	185887	1870386
452	186262	1869618
453	186642	1868888
454	187078	1868726
455	187458	1868002
456	187911	1868010
457	188239	1866780
458	188594	1865815
459	188951	1864864
460	189320	1864044
461	189656	1862906
462	190221	1864007
463	190536	1862654
464	190885	1861649
465	191244	1860732
466	191595	1859747
467	191958	1858878
468	192308	1857886
469	192645	1856771
470	193056	1856374
471	193420	1855527
472	193758	1854424
473	194104	1853409
474	194430	1852201
475	194770	1851139
476	195266	1851552
477	195614	1850566
478	195996	1849900
479	196376	1849207
480	196709	1848087
481	197095	1847461
482	197410	1846178
483	197855	1846106
484	198230	1845381
485	198573	1844360
486	198938	1843550
487	199329	1842977
488	199651	1841771
489	200030	1841100
490	200481	1841080
491	200814	1839983
492	201127	1838706
493	201450	1837523
494	201820	1836766
495	202223	1836319
496	202558	1835251
